poetry,text
دیریست که دلدار پیامی نفرستاد / ننوشت سلامی و کلامی نفرستاد,خیلی وقت است که دلدار خبری برایمان نفرستاده ، نه یک کلام چیز نوشت و نه سلامی فرستاد . خلاصه مدت زمانی است که برای ما نه کلامی و نه پیامی و نه سلامی می فرستد .
صد نامه فرستادم و آن شاهِ سواران / پیکی ندوانید و سلامی نفرستاد,من صد نامه فرستادم در حالیکه آن شاه سواران حتی یک پیک برای من نفرستاد یعنی یک خبر هم نفرستاد . خلاصه به نامۀ من توجه نکرد و مقید نشد که برایم جوابی بفرستد .
سویِ منِ وحشی صفتِ عقل رمیده / آهو روشی کبکِ خرامی نفرستاد,دلبر آهو رفتار که از دلدادگان می رمد ، قاصدِ کبک پویه و تیز گامی نزدِ منِ عاشقِ بیابان نورد خِرد گم کرده نفرستاد ( شرح دکتر خطیب رهبر ) [ کبک خرام = کبک پویه ، کنایه از تیز گام / آهو روش = آهو رفتار ]
دانست که خواهد شدنم مرغِ دل از دست / وز آن خطِ چون سلسله دامی نفرستاد,او فهمید که مرغِ دلم از دست خواهد رفت با وچودِ این از آن خطِ زیبای به هم پیوسته نامه ای برایم نفرستاد . یعنی با خطِ خود نامه ای ارسال نکرد که مرغِ دلم از دیدن آن تسلی یابد و آرام بگیرد .
فریاد که آن ساقیِ شکّر لبِ سرمست / دانست که مخمورم و جامی نفرستاد,فریاد از آن ساقی شکر لب و مستغنی زیرا با وجود آنکه از مخموری من خبر داشت جامی برایم نفرستاد یعنی می دانست که عشق و محبتش مرا بی اختیار کرده است . خبری که تسکینم دهد نفرستاد .
چندانکه زدم لافِ کرامات و مقامات / هیچم خبر از هیچ مقامی نفرستاد,در طریق عشق لافِ کرامات و مقامات خیلی زدم یعنی خیلی گفتم که در عشقِ تو به درجه ای رسیده ام که هر چه از من صادر می شود تماماََ ولایت و کرامت است امّا با این حال از هیچ جا هیچ خبری برایم نفرستاد . یعنی به هیچ وجه به علاقه ام توجه نکرد و به سخنانم التفاط نکرد . [ مقامات = جمع مقام است به معنی منزلت و مرتبتی که بنده به واسطۀ آدابِ خاص بدان رسد و از طریقِ تحملِ سختی و مشقت بدان نائل گردد ( فرهنگ مصطلحاتِ عرفا و متصوفه ) ]
حافظ به ادب باش که واخواست نباشد / گر شاه پیامی به غلامی نفرستاد,ای حافظ ، ادب را رعایت کن چرا که اگر پادشاهی برای غلامش خبری نفرستد ، موردِ بازخواست قرار نمی گیرد یعنی هرگز نمی شود که به پادشاهی خطاب کرد که چرا برای چاکرت خبری و پیامی ارسال نکردی . شرح و تفسیر غزل 108                      شرح و تفسیر غزل 110
خسروا گوی فلک در خَمِ چوگانِ تو باد / ساحتِ کون و مکان عرصۀ میدان تو باد,ای پادشاه گوی فلک در خَمِ چوگانِ تو باشد یعنی حق تعالی به تو قدرت و عظمتی دهد که مافوقِ تصور باشد یعنی قدرت و عظمتِ خارق العاده دهد . [ شهریارا ، گوی گردون دستخوش و سرگردان چوگان فرمانِ تو و پهنۀ گشاده جهان هستی جولانگه تو باد ( شرح دکتر خطیب رهبر ) . گوی فلک = گوی گردون / ساحت کون و مکان = سراسر روی زمین ]
زلفِ خاتونِ ظفر شیفتۀ پرچمِ توست / دیدۀ فتح ابد عاشقِ جولانِ تو باد,گیسوی ملکۀ پیروزی عاشق پرچم درفش توست و چشم فتح و گشایش جاودانی دلباختۀ تاخت و تاز تو باد . خلاصه بهر سوی که جنبش کنی و روی آوری فتح و پیروزی هوادارِ تو باشد . ( شرح دکتر خطیب رهبر ) [ شیفته = دیوانه و حیران ]
ای که انشاء عطارد صفتِ شوکتِ توست / عقلِ کُل چاکرِ طغرا کِشِ دیوانِ تو باد,ای شاهی که انشاء عطارد صفت شوکتِ توست یعنی عطارد که نویسندۀ فلک است شوکت و عظمت تو را وصف می کند و عقل کُل خدمتکارِ طغراکشِ تو باشد . [ طغراکش = نگارنده طغرا یا نشانِ ویژه پادشاهی بر فرمانها / چاکر = خدمتکار / عطارد = یکی از هفت سیاره معروف که به فارسی آن را تیر نامند و آن را دبیر فلک خوانده اند ]
طیرۀ جلوۀ طوبی قدِ چون سروِ تو شد / غیرتِ خُلدِ برین ساحتِ بستانِ تو باد,قدِ چون سروِ تو باعثِ خشمِ جلوه طوبی گشت یعنی وقتی طوبی قدِ چون سروِ تو را دید که با ناز می خرامد از حسادت به خشم آمد و غضبناک شد و پهنۀ گشادۀ گلستان تو مایه رشک بهشت اعلی باد . [ طوبی = درخت بهشتی / طیره = سبکی و خفت / خلد برین = بهشت اعلی ]
نه به تنها حیوانات و نباتات و جماد / هر چه در عالَمِ امرست به فرمانِ تو باد,نه تنها حیوانات و نباتات و جمادات بلکه هر چه هم در عالمِ ملکوت است مطیع فرمان تو باشد . یعنی نه تنها همۀ موجودات زمینی ، بلکه آنچه در عالم ملکوت نیز هست مطیع فرمان تو باشد . – عالم امر منظور عالمِ ملکوت است که در مقابل عالم خلق یا عالمِ مادی آمده است که از آن به « حیوانات و نباتات و جماد » تعبیر شده است . با توجه به اینکه این بیت خطاب به شاه منصور می باشد لذا ظاهراََ غلوی شده است که خلافِ ادبِ شرعی است . شرح و تفسیر غزل 107                     شرح و تفسیر غزل 109
حُسنِ تو همیشه در فزون باد / رویت همه ساله لاله گون باد,زیبایی تو همیشه در ترقی باشد یعنی روز به روز بیشتر شود و رویت سراسرِ سال لاله گون یعنی چون لاله باشد و یا به رنگِ لاله باشد .
اندر سرِ ما خیالِ عشقت / هر روز که باد در فزون باد,خیال عشق تو در سرم هر روز افزونتر گردد یعنی عشقم نسبت به تو شدّت یابد . خلاصه عشق و محبتم نسبت به تو روز به روز بیشتر شود .
هر سرو که در چمن درآید / در خدمتِ قامتت نگون باد,هر سرو که در چمن پیدا شود در خدمت قدِ چون الفِ تو ، نگون باد . یعنی به واسطۀ تعظیمی که می کند قدش خمیده گردد چنانکه رسم بر این است که هنگامِ سلام خم می شوند . خلاصه هر قدِ بلند و عالی شأن در برابر قامت تو راکع و ساجد باشد .
چشمی که نه فتنۀ تو باشد / چون گوهرِ اشک غرق خون باد,چشمی که مفتونِ تو نباشد مثلِ گوهرِ اشک غرق خون گردد یعنی هر که تو را دوست ندارد چشمش گریان و دلش غمناک شود .
چشمِ تو ز بهرِ دلربایی / در گردنِ سحرِ ذوفنون باد,چشمت برای دلربایی ، صاحب همه فنون سُحر باشد . یعنی برای تسخیر دل های عشاق به انواعِ سِحر قادر باشد . [ دلربایی = جذب کننده دل / ذو = صاحب / فنون = جمع فن به معنی صنعت ]
هر جا که دلی است در غمِ تو / بی صبر و قرار و بی سکون باد,در هر جا که دلی قابلیت عشق و محبت را دارد . در غمِ عشق تو بی صبر و قرار و نا آرام باشد .
قدِ همه دلبرانِ عالَم / پیشِ الفِ قدت چو نون باد,قامت همه دلربایان جهان در برابر بالای راست الف سان تو مانند حرف «ن» خمیده باد یعنی همۀ نکویان در پیشِ تو ، به نشانِ بزرگداشت سر فرود آورند .
هر دل که ز عشق توست خالی / از حلقۀ وصلِ تو برون باد,دلی که به راستی عاشقِ تو نباشد و برای هوس ، وصلِ تو را خواهد . از انجمنِ وصالت دور باد .
لعلِ تو که هست جانِ حافظ / دور از لبِ مردمانِ دون باد,لبِ قرمز چون لعلِ تو که جانِ حافظ است . دور از لب مردم فرومایه باشد . یعنی فقط نصیب حافظ شود و غیر از او کسی از آن بهره مند نشود . شرح و تفسیر غزل 106                      شرح و تفسیر غزل 108
تنت به نازِ طبیبان نیازمند مباد / وجودِ نازکت آزردۀ گزند مباد,تن تو محتاج ناز طبیبان نشود یعنی همیشه سلامت باشی و وجود نازکت هم از امراض مصون باشد .
سلامت همه آفاق در سلامتِ توست / به هیچ عارضه شخصِ تو دردمند مباد,سلامت همه عالم در سلامتِ تو است یعنی تو جانِ عالَمی ، صِحتِ تو صِحتِ عالَم است . پس خدا نکند که وجودِ شریفِ تو با یک عارضه یا یک مرض دردمند شود و به زحمت بیفتد .
درین چمن چو درآید خزان به یغمایی / رهش به سروِ سهی قامتِ بُلند مباد,وقتی خزان در این چمن دنیا به یغماگری بیاید ، آن خزان به جانبِ سروِ سهی یعنی سروی که قامتِ بلند دارد راه پیدا نکند . خلاصه اینکه به تمامِ خلق عالَم که امراض مختلف عارض می شود به تو عارض نشود .
در آن بساط که حُسنِ تو جلوه آغازد / مجالِ طعنۀ بدبین و بدپسند مباد,در جایی که جمالِ تو جلوه آغازد یعنی عرض جمال نماید ، دیگر برای بدبین و بدپسند مجال طعنه نباشد یعنی دشمن بدبین و بدپسند قادر به طعنه تو نباشد .
هر آنکه رویِ چو ماهت به چشمِ بد بیند / بر آتشِ تو به جز جانِ او سپند مباد,هر آنکس که به رویِ ماهِ تو به چشمِ بد نگرد یعنی چشم زخم زند . به جز بر آتش تو جانِ او اسپند نباشد یعنی جانش در آتش غم بسوزد و از غم و غصه خلاص نشود . [ سپند = تخمِ اسپند است که برای چشم زخم در آتش می ریزنند ]
شفا ز گفتۀ شکّر فشانِ حافظ جوی / که حاجتت به علاجِ گُلاب و قند مباد,خواجه خطاب به آن دوستی که مریض شده می گوید : شفا را از کلامِ شکرافشانِ حافظ بخواه یعنی برای شفا از مرض اشعار شیرین چون شکر حافظ را بخوان که علاج پذیر باشی و به گلاب و قند محتاج نشوی . شرح و تفسیر غزل 105                     شرح و تفسیر غزل 107
صوفی ار باده به اندازه خورد نوشش باد / ور نه اندیشۀ این کار فراموشش باد,اگر صوفی باده را به قدری بخورد که مست نشود ، آن باده برایش چون عسا و شکر ، شیرین و گوارا باشد ولی اگر به حدی بخورد که مست و سرخوش گردد بهتر است که فکر باده نوشی را فراموش کند . منظور بیت : اگر درویش سالک شراب عشق را به اندازه تاب و توان خود بنوشد . گوارای وی باد و اگر حدِ خویشتن نشناسد ، اندیشۀ سیر و سلوک در طریق معرفت از خاطرش دور باد ( شرح دکتر خطیب رهبر )
آن که یک جرعه مِی از دست توانَد دادن / دست با شاهدِ مقصود در آغوشش باد,آن کسی که قدرت این را دارد که به مستحق مِی احسان کند یعنی کسی که احسانِ خود را از مردم دریغ نمی دارد . با آن دستی که احسان کرده با مقصود و محبوب خود هم آغوش گردد . [ جمله دعایی است ] منظور بیت : کسی که یک جرعه باده کمتر تواند نوشید و اندازه نگاه تواند داشت . باشد که دست در گردنِ شاهدِ مقصود آورد و از وصالِ محبوب کامیاب گردد ( شرح دکتر خطیب رهبر ) .
پیر ما گفت خطا بر قلمِ صُنع نرفت / آفرین بر نظرِ پاکِ خطا پوشش باد,پیرِ روشندل ما به فراست دریافت و به مریدی که پنداشته بود خطایی بر خامۀ آفرینش رفته است فرمود : خطا و اشتباهی از قلمِ صُنع در کارگاه هستی صادر نشده است . آفرین بر دیدۀ پاک بین مرشد باد که خطای مرید را دریافت ولی بر روی او نیاورد ( شرح دکتر خطیب رهبر ) .
شاهِ ترکان سخنِ مدعیان می شنود / شرمی از مظلمۀ خونِ سیاووشش باد,اشاره به داستان سیاوش در شاهنامه است و می فرماید : شاه ترکان ( افراسیاب ) به گفتار سخن چینان که ادعای دوستی با وی دارند گوش فرا می دهد و کشتن سیاوش را مباح و روا می شمارد . از ستمی که بر سیاوش رفته باید حیا کند . [ شاه ترکان =- مقصود افراسیاب است / مظلمه = ستمی که بر کسی وارد شود ، دادخواهی ]
گر چه از کبر سخن با منِ درویش نگفت / جان فدای شکرین پستۀ خاموشش باد,اگر چه جانان از تکبری که دارد با منِ درویش هیچ حرفی نزد ، با وجود این جان ، فدای پستۀ خاموشش شود یعنی حرف نزدن و سخن نگفتنش با من از روی عدمِ التفات است . با این حال جانم فدای دهانِ خاموشِ چون پستۀ شیرینش گردد .
چشمم از آینه دارانِ خط و خالش گشت / لبم از بوسه ربایانِ بَر و دوشش باد,دیدۀ من آینه دار عذار و خال هندوی اوست یعنی جانان هیچ وقت از برابر دیدگانم دور نمی شود . امید است که لبم نیز از بوسه ربایان سینه و شانه اش باشد .
نرگسِ مستِ نوازش کُنِ مردم دارش / خون عاشق به قدح گر بخورد نوشش باد,چشم مستِ نوازش کُن و مردم خویِ آن جانان که عشاق را نوازش می کند و رعایت حالشان را می نماید ، اگر خونِ عاشق را به قدح بخورد نوشش باد یعنی برایش شکر و عسل گردد و خلاصه حلالش باشد . چونکه عشاق را رعایت می کند پس خونشان نوشِ جان و گوارای وجودش باشد .
به غلامیِ تو مشهورِ جهان شد حافظ / حلقۀ بندگیِ زلفِ تو در گوشش باد,حافظ چون غلامی تو را قبول کرده مشهورِ جهان گشته است . پس آرزو دارم که حلقۀ غلامی زلفِ تو در گوش او باشد یعنی همیشه مطیع و فرمانبردار تو باشد . شرح و تفسیر غزل 104                      شرح و تفسیر غزل 106
جمالت آفتاب هر نظر باد / ز خوبی رویِ خوبت خوبتر باد,جمالت آفتابِ هر نظر باد یعنی رویِ زیبایت در نظرِ هر ناظر مثلِ خورشید نوربخش باشد . یعنی همانطوری گه قمر از خورشید کسبِ نور می می کند ، هر نگاه کننده به روی تو از خورشیدِ رویت مستنیر گردد و در زیبایی به حدِ کمال برسی یعنی حُسنِ تو روز به روز افزون گردد .
همایِ زلفِ شاهین شهپرت را / دلِ شاهانِ عالَم زیرِ پَر باد,دلِ شاهان عالَم زیرِ پرِ همایِ زلفِ شاهین شهپرت باد یعنی تمام شاهان عالم در سایه حمایت تو مطیعِ فرمانت باشند . ( همای زلف = گیسوی تو که سایه اش چون سایه هما فرخندگی و میمنت می بخشد / همای = مرغ معروف به سعادت / شاهین = مرغی بی نهایت قوی و چالاک ) [ دل فرمانروایان جهان ، فرمان پذیر و در پناهِ گیسوی تو باد که از بلند پروازی گویی شاهپرِ شاهین بر خود بسته است ( شرح دکتر خطیب رهبر ) ]
کسی کو بستۀ زلفت نباشد / چو زلفت درهم و زیر و زبر باد,کسی که گرفتار زلفت نباشد . چون زلفت پریشان و آشفته گردد یعنی هر آن کسی که به تو علاقه نرسانده و دلش را در عقدِ محبت تو قرار نداده است ، پریشان حال و مشوش بال گردد .
دلی کو عاشقِ رویت نباشد / همیشه غرقه در خونِ جگر باد,آن کسی که عاشقِ رویت نشود یعنی به تو تعلق و تعشق نداشته باشد ، دائماََ غرقِ در خونِ جگر گردد .
بتا چون غمزه ات ناوک فشاند / دلِ مجروحِ من پیشش سپر باد,ای بت وقتی که غمزه ات تیر می اندازد . دلِ مجروحِ من در برابرِ تیرش سپر باشد . یعنی تیرهای غمزه ات فقط به دلِ مجروحِ من اصابت کند و نصیب دیگران نشود . [ بتا = ای بت ]
چو لعلِ شکرینت بوسه بخشد / مذاقِ جانِ من زو پُر شکر باد,وقتی لبِ لعلِ چون شکرت بوسه بخشد ، مذاقِ جانِ من از لعلِ شکرینِ تو پر شکر گردد یعنی بوسۀ لبِ شکرین تو برایم میسر گردد و نصیبم شود .
مرا از تست هر دم تازه عشقی / ترا هر ساعتی حُسنی دگر باد,هر دم و هر نفس به تو عشقِ تازه پیدا می کنم یعنی هر دم مهر و محبتم به تو تازه تر می شود . و تو هم هر ساعتی حُسنِ تازه تری پیدا می کنی یعنی زیباتر از زیبا می شوی . خلاصه همنطور که عشق و محبتِ من هر آن زیاد می شود ، حُسن و جمالِ تو هم کمال می یابد .
به جان مشتاقِ رویِ تست حافظ / ترا در حالِ مشتاقان نظر باد,حافظ از دل و جان مشتاقِ روی توست . خدا کند که به حالِ مشتاقان نظری داشته باشی . یعنی به حالِ حافظ نظری بیفکنی . [ خواجه برای شخصِ خود دعا کرده است ] شرح و تفسیر غزل 103                        شرح و تفسیر غزل 105
روزِ وصلِ دوستداران یاد باد / یاد باد آن روزگاران یاد باد,روزِ وصلِ دوستان یاد باد . یعنی هرگز فراموش نشود آن ایام که با دوستان در یک جا جمع بودیم . یاد باد آن ایم ، یاد باد .
کامم از تلخیِ غم چون زهر گشت / بانگِ نوشِ شادخواران یاد باد,از تلخی غم ، کامم مثلِ زهر تلخ گشت . بانگِ بنوش بنوش مجلسِ باده هرگز فراموش نشود . زیرا عادت اهلِ مجلس جنان است که وقتی یکی از مجلسیان قدح شرابِ را بلند کرد دیگران هم با گفتن لفظِ «بنوشیم» جام های خود را بلند می کنند و می نوشند . در روم هم معمول همین است می گویند «بخوریم» .
گر چه یاران فارغند از یادِ من / از من ایشان را هزاران یاد باد,اگر چه یاران از یاد کردن من فارغند یعنی یادی از من نمی کنند ولی از من به ایشان هزاران بار یاد باد . یعنی من آنها را هزار باد به خاطر می آورم .
مُبتلا گشتم در این بند و بلا / کوششِ آن حق گزاران یاد باد,من گرفتارِ بندِ بلا شده ام یعنی گرفتارِ بندِ هجران و فراق عزیزان گشته ام . سعی و تلاشِ آن دوستانِ حق گزار یاد باد . یعنی از خاطرها محو نگردد بلکه برای همیشه باقی بماند آن کوششی که دوستان حق گزار در ادای حقِ ما بجا می آوردند .
گر چه صد رودست در چشمم مدام / زنده رودِ باغ کاران یاد باد,هر چند که از اشکِ چشمم هر آن در چشمم صد نهر تشکیل می شود امّا جایش است که زنده رودِ باغکاران یاد شود . یعنی از کثرت گریه از چشمانم نهرها جاری می شود . بسیار بجاست که این نهرها ، زاینده رود را به خاطر بیاورد . خلاصه هر چند که پیوسته دیده ام سرچشمۀ صد جویبار اشک است . با این حال یادِ نهرِ زاینده رود که از کنار باغ کاران می گذرد از خاطر فراموش مباد . [ باغ کاران = نام یکی از چهارباغ معروفِ اصفهان که مشرف بر زاینده رود بوده است ( لغت نامه دهخدا ) ]
رازِ حافظ بعد از این ناگفته ماند / ای دریغا رازداران یاد باد,رازِ حافظ بعد از این ناگفته می ماند یعنی کسی پیدا نمی شود که رازِ حافظ را نگه دارد و آن شخص راز نگهدارش باشد . یادِ یاران راز پوش بخیر باد . شرح و تفسیر غزل 102                     شرح و تفسیر غزل 104
دوش اگهی ز یارِ سفر کرده داد باد / من نیز دل به باد دهم هر چه باد باد,دیشب باد از یار سفر کرده آگهی داد یعنی از جانانی که به سفر رفته است خبری آورد . من هم در مقابل این مژده دلِ خود را به مژدگانی دادم هر چه باد باد . [ دوش = دیشب / آگهی = مخفف آگاهی به معنی خبر داری ]
کارم بدان رسید که همراز خود کنم / هر شام برقِ لامع و هر بامداد باد,کارم به اینجا رسید که هر شام ، برق درخشان یعنی آه آتشین و هر صبح بادِ آه را مثاحب و همرازِ خود کنم . خلاصه عشق جانان به حدی تأثیرم کرده که هر صبح و شام کارم آه و ناله و فغان و فریاد است . [ برق لامع = برقی که می درخشد و فوری ناپدید می شود / بامداد = صبح زود ]
در چینِ طرّۀ تو دلِ بی حفاظ من / هرگز نگفت مسکنِ مألوف یاد باد,در چین و خمِ طره تو این دلِ بی غیرت من هرگز نگفت که وطن اصلی من کجاست ؟ یعنی از وطنِ اصلی خود هیچ یاد نکرد خلاصه از وقتی که دلِ من در شکن گیسوی تو مسکن گزیده از فضای سینه که جایگاه خو گرفتۀ اوست یادی نمی کند . [ دل بی حفاظ = دل بی غیرت / مألوف = دلخواه و خو گرفته / مسکن مألوف = وطن اصلی ]
امروز قدرِ پندِ عزیزان شناختم / یارب روانِ ناصحِ ما از تو شاد باد,قدر پند و نصیحت عزیزان را امروز شناختم . یارب کسی که به ما نصیحت می کرد روحش از تو شاد باد . خلاصه در ایامِ جوانی و طراوت قدر نصایح دوستان و عزیزان را نفهمیدم ولی حالا که جوانی گذشته و زمان پیری فرا رسیده ، می فهمم چه می گفتند . خدایا روحِ آنها را شاد کن . زیرا آنها خیرخواهِ من بودند که پندم می دادند . [ ناصح = خیرخواه ، نصیحت گو ]
خون شد دلم به یادِ تو هر گه که در چمن / بندِ قبایِ غنچۀ گُل می گشاد باد,هر وقت که باد در چمن بندِ قبای غنچۀ گل را باز می کرد و آن را شکفته می ساخت ، من دلم خون می شد یعنی تو به یادم می آمدی و به یادِ بندِ قبا گشودن تو می افتادم و دلم از رشک خون می شد .
از دست رفته بود وجودِ ضعیفِ من / صُبحم به بویِ وصلِ تو جان باز داد باد,این وجودِ ضعیفِ من پاک از بین رفته بود امّا هنگامِ صبح که باد بوی زلفِ تو را آورد به من جانِ دوباره داد یعنی ضعفِ وجودم به حدِ کمال رسیده بود لکن به سبب بود زلف تو که باد آورد دوباره جان گرفتم .
حافظ نهادِ نیکِ تو کامت برآورد / جانها فدایِ مردمِ نیکو نهاد باد,ای حافظ ، نیک نهادی تو مرادت را برآورد یعنی خوش طبعی تو سبب حصولِ مرادت می گردد . جان ها فدای مردم نیک طینت باد . در واقع خواجه به خودش دعا کرده است . [ نهاد نیک = سرشت پاک ] شرح و تفسیر غزل 101                      شرح و تفسیر غزل 103 
