,poetry,text
0,گفت : ای صِدّیق آخِر گفتمت / که مرا انباز کن در مکرمت,حضرت محمّد مصطفی (ص) گفت : ای صدّیق (ابوبکر) آخر به تو گفتم که مرا نیز در این کار جوانمردانه شریک کن .
1,گفت : ما دو بندگانِ کویِ تو / کردمش آزاد من بر رویِ تو,ابوبکر گفت : ما هر دو غلامِ آستانِ کویِ تو هستیم . من بلال را به خاطر گُلِ رویِ تو آزاد کردم .
2,تو مرا می دار بنده و یارِ غار / هیچ آزادی نخواهم ، زینهار,تو مرا به عنوان غلام نزدِ خود نگهدار . من ابداََ هیچ نوع آزادی از تو نمی خواهم .
3,که مرا از بندگیت آزادی است / بی تو بر من محنت و بی دادی است,زیرا آزادی من در اینست که غلامِ تو باشم . بدون وجود تو زندگی برای من مایۀ رنج و حرمان و ستم است .
4,این جهان را زنده کرده زِ اصطفا / خاص کرده عام را ، خاصه مرا,ای پیامبری که با برگزیده شدنت از سویِ حضرت حق ، جهان را زنده کرده ای . و عوام النّاس را به مرتبۀ بندگان خاصِ الهی رسانده ای . بویژه مرا چنین کرده ای .
5,1080) خواب ها می دیدم جانم در شباب / که سلامم کرد قرصِ آفتاب,جانِ من به دورانِ جوانی رویاهایی می دید . مثلاََ می دید که چشمۀ خورشید بر من سلام می کند .
6,1081) از زمینم برکشید او بر سما / همرهِ او گشته بودم ز ارتقا,و می دیدم که خورشید مرا از زمین برکند و به فرازِ آسمان بُرد . چنانکه در بلندی و رفعت همطرازِ او شده بودم .
7,1082) گفتم : این ماخولیا بود و مُحال / هیچ گردد مستحیلی وصفِ حال ؟,امّا هر بار که از خواب بیدار می شدم با خود می گفتم : این صحنه های رویایی محال است که تحقّق عینی یابد . بلکه نوعی مالیخولیاست که بر مغزم عارض شده است . زیرا مگر ممکن است که امری محال نقدِ حال واقع شود .
8,1083) چون تو را دیدم ، بدیدم خویش را / آفرین آن آینۀ خوش کیش را,همینکه تو را دیدم . یعنی ای پیامبری که به منزلۀ خورشید معنوی هستی . به محضِ آنکه تو را دیدم . حقیقتِ وجود خود را پیدا کردم . یعنی دریافتم که حقیقت انسان ، پوست و گوشت و استخوان نیست . بلکه گوهری است لطیف و نورانی . زهی بر آن آینۀ حقیقت نمایی که حقیقت را نشان داد .
9,1084) چون تو را دیدم ، مُحالم حال شد / جانِ من مُستَغرقِ اِجلال شد,همینکه تو را دیدم . امر محال برایم ممکن شد و جانم در دریای عظمت معنوی غرقه گشت . 
