,topic,poetry
0,eshq,من خفته بدم به ناز در کتم عدم ‪ حسن تو به دست خویش بیدارم کرد
1,eshq,ازخمستان جرعه‌ای برخاک ریخت ‪ جنبشی درآدم و حوا نهاد
2,eshq,از شبنم عشق خاک آدم گل شد ‪ صد فتنه و شور در جهان حاصل شد
3,eshq,در ازل پرتو حسنت ز تجلی دم زد ‪ عشق پیدا شد و آتش به همه عالم زد
4,eshq,شور و غوغایی برآمد از جهان ‪ حسن او چون دست در یغما نهاد
5,eshq,این لطف بین که با گل آدم سرشته‌اند ‪ وین روح بین که در تن آدم تنیده اند
6,eshq,هوش خردمندان را عشق به تاراج برد ‪ من نشنیدم که باز‪ صید کبوتر شود
7,eshq,صایب حضور اگر طلبی ترک عقل کن ‪ کاین در به روی مردم فرزانه بسته است
8,eshq,چو عشق آمد ز عقل مگو ‪ که دردست چوگان اسیرست گوی
9,eshq,آن جا که عشق خیمه زند جای عقل نیست ‪ غوغا بود دو پادشه اندر والیتی
10,eshq,پرستش به مستی است در کیش مهر ‪ برون اند زین جرگه هوشیارها
11,eshq,چو بر عقل دانا شود عشق چیر ‪ همان پنجه آهنین است و شیر
12,eshq,عقل در کوی عشق نابیناست ‪ عاقلی کار بوعلی سیناست
13,eshq,عقل در سلسله عشق گرفتار بود ‪ عاشق دلشده مست است نه هشیار بود
14,eshq,عشق آمد خانمان عقل را ویران کند ‪ پشت پا زد بر سر آخر عقل دور اندیش را
15,eshq,عشق بر تدبیر خندد زانکه در صحرای عقل ‪ هر چه تدبیر است جز بازیچه تقدیر نیست
16,eshq,عاشقی خود نه کار فرزانه است ‪ عقل در راه عشق دیوانه است
17,eshq,عقل بیگانه است در ره عشق ‪ شرح این نکته آشنا داند
18,eshq,عاقالن نقطه پرگار وجودند ولی ‪ عشق داند که در این دایره سرگردانند
19,eshq,عقلم به کوی دوست هدایت نمی‌کند ‪ ای عشق برافروز چراغ هدایت
20,eshq,ماجرای عقل پرسیدم ز عشق ‪ گفت معزول است و فرمانیش نیست
