word,synonym,antonym
ای,"['ایا', 'هان', 'های', 'هلا']","['خاطرجمع', 'خاطرجمعی', 'خاطرجو', 'خاطرخواه', 'خاطرخواهی', 'خاطرهانگیز']"
دل,"[' فواد', 'قلب  خاطر', 'ضمیر  شکم  درون', 'مرکز', 'میان', 'وسط  جرات', 'زهره', 'شهامت', 'فواد', 'ضمیر', 'طویت', 'بال']","['برات شدن', 'بیرحم', 'تیرهدل']"
جان,"[' روان', 'روح  حیات  نفس  هوش  عزیز', 'گرامی  جن ', 'حیات']","[' تن', 'بدن', 'انس', 'پری', 'پریان', 'روح', 'تن', 'تسلیم کردن', 'روان', 'مردن']"
سر,"[' تارک', 'راس', 'فرق', 'کله', 'مخ ', ' راز', 'رمز', 'مصاص', 'امرپوشیده', 'کار نهانی  اخفا', 'مکتوم', 'نهانی', ' شیب', 'لیز', 'لغزنده', 'لغزان  موزه  سرخ', 'سرخرنگ ']","[' پا', 'ته  چکاد', 'قله', 'نوک ', ' آبیرنگ']"
گر,"[' جرب  اگر', 'کچل', 'کل', 'جرب', 'اگر', 'ار']",['سودایی']
چشم,"[' دیده', 'عین ۲. دید', 'رویت', 'نظر', 'نگاه ۳. امید', 'انتظار', 'توقع ۴. عزیز', 'گرامی ۵. چشمزخم ۶. حدقه', 'دیده']",nothing
اندر,"['تو', 'داخل', 'در', 'درون']",['درون']
چو,"[' چون  اگر', 'گر  وقتی', 'هنگامی  شبیه', 'مانند', 'مثل', 'شایعه', 'خبر نادرست']",['چون']
باد,"[' هوا ۲. آماس', 'آماه', 'نفخ', 'ورم ۳. پف', 'فوت', 'تیز', 'ریح ۴. توفان', 'شمیم', 'صرصر', 'نسیم', 'نفخه ۵. بادا', 'باشد ۶. افاده', 'خودبینی', 'تکبر', 'خودبزرگ بینی', 'غرور', 'فیس', 'نخوت ۷. ابهت', 'اهمیت', 'شکوه ۸. دم', 'نفس ۹. بارح', 'برآمدگی', 'دمل ۱۰. باطل', 'بیهوده', 'لغو', 'نفخه', 'گوز', 'انتفاخ', 'نسیم', 'دمل']",nothing
دست,"[' ید  ارتباط', 'تبانی', 'رابطه  تسلط', 'قدرت']","['رجل', 'تمسخر کردن', 'باز یافتن']"
